כותרת,הערה,כתובת אתר,תגיות,תגובה
Gyukatsu Motomura Dotonbori Branch,שניצל וואגיו על פלטת אבן,https://www.google.com/maps/place/Gyukatsu+Motomura+Dotonbori+Branch/data=!4m2!3m1!1s0x6000e7001c948e01:0x5bb4b39d8be5bbb8,,
Gyukatsu Motomura Namba Branch,"שניצל בקר וואגיו פריך עם ציפוי דקיק, שמגיע כמעט נא עם פלטת אבן לוהטת אישית לשולחן שבה אתם צורבים כל חתיכה לפי מידת העשייה שלכם. טעים ברמות קיצוניות!",https://www.google.com/maps/place/Gyukatsu+Motomura+Namba+Branch/data=!4m2!3m1!1s0x6000e76b53bc67e9:0xc718ee6b423ad7d3,,
7-ELEVEN 鑫大孝門市,,https://www.google.com/maps/place/7-ELEVEN+%E9%91%AB%E5%A4%A7%E5%AD%9D%E9%96%80%E5%B8%82/data=!4m2!3m1!1s0x3442a90d3ac7762b:0xb77a2b842d31ba2,,
KURA SUSHI Songjiang Nanjing,סושי מסוע,https://www.google.com/maps/place/KURA+SUSHI+Songjiang+Nanjing/data=!4m2!3m1!1s0x3442a9611f8e61b3:0x496dbe97248f6f66,,
KURA SUSHI Zhongshan Nanxi Branch,סושי מסוע,https://www.google.com/maps/place/KURA+SUSHI+Zhongshan+Nanxi+Branch/data=!4m2!3m1!1s0x3442a923cea1d337:0xb64cbf45a26484d5,,
KURA SUSHI Taipei Guanqian Branch,סושי מסוע,https://www.google.com/maps/place/KURA+SUSHI+Taipei+Guanqian+Branch/data=!4m2!3m1!1s0x3442a9732f2cf9a9:0xc82ff77a3774e099,,
SUSHIRO Taipei Zhonghua Restaurant,סושי מסוע,https://www.google.com/maps/place/SUSHIRO+Taipei+Zhonghua+Restaurant/data=!4m2!3m1!1s0x3442a953a4f82e67:0xf2855987b3da8a02,,
OA PIZZA,,https://www.google.com/maps/place/OA+PIZZA/data=!4m2!3m1!1s0x3467f75b821fde13:0x1c9a0d4c6f6f32f8,,
Hida Beef Baya,,https://www.google.com/maps/place/Hida+Beef+Baya/data=!4m2!3m1!1s0x6002bb454112b1bf:0x9bf2b6cdaf5140d8,,
Hida beef sukiyaki shabu-shabu Nakabashi Wakachiya,,https://www.google.com/maps/place/Hida+beef+sukiyaki+shabu-shabu+Nakabashi+Wakachiya/data=!4m2!3m1!1s0x6002bb70d4aa4a81:0xff8a5b2fd3eb34e8,,
Dojima Yakiniku Restaurant,,https://www.google.com/maps/place/Dojima+Yakiniku+Restaurant/data=!4m2!3m1!1s0x6000e70070d00731:0xd8e7dd1a9da70983,,
Kaiten Sushi Ginza Onodera Kyoto,,https://www.google.com/maps/place/Kaiten+Sushi+Ginza+Onodera+Kyoto/data=!4m2!3m1!1s0x600109cd07fed30b:0xebe961f679f997b7,,
Conveyor Kaiten Sushi Ginza Onodera HONTEN,,https://www.google.com/maps/place/Conveyor+Kaiten+Sushi+Ginza+Onodera+HONTEN/data=!4m2!3m1!1s0x60188dd122b193c9:0x30641d8efc7d0a5b,,
Menchirashi,נודלס אודון,https://www.google.com/maps/place/Menchirashi/data=!4m2!3m1!1s0x60188d6ff9699deb:0x5fda2231d05d8d8b,,
Harajuku Gyozarou,גיוזות ואוו,https://www.google.com/maps/place/Harajuku+Gyozarou/data=!4m2!3m1!1s0x60188ca46f48ab17:0x8b30eb7879902bda,,
Han no daidokoro bettei shibuya,בשר,https://www.google.com/maps/place/Han+no+daidokoro+bettei+shibuya/data=!4m2!3m1!1s0x60188ca9c09f60b3:0xc6cbf38ac577116e,,
KINKA Sushi Bar Izakaya,סושי,https://www.google.com/maps/place/KINKA+Sushi+Bar+Izakaya/data=!4m2!3m1!1s0x60188bc664f1c631:0x57db1e12f7517ced,,
KINKA Sushi Bar Izakaya 渋谷,סושי,https://www.google.com/maps/place/KINKA+Sushi+Bar+Izakaya+%E6%B8%8B%E8%B0%B7/data=!4m2!3m1!1s0x60188ca9206cd3cf:0x66782939f33bb0e8,,
Jambo Hanare,מסעדת בשרים,https://www.google.com/maps/place/Jambo+Hanare/data=!4m2!3m1!1s0x60188c3cb38b9a41:0xf42ff072b0cf47ff,,
Uobei Shibuya Dogenzaka Store,סושי מהיר וטעים,https://www.google.com/maps/place/Uobei+Shibuya+Dogenzaka+Store/data=!4m2!3m1!1s0x60188ca9c3e93569:0x51b1ecd6fe7ee73f,,
Uogashi Nihon-Ichi Shibuya Dogenzaka,סושי בעמידה,https://www.google.com/maps/place/Uogashi+Nihon-Ichi+Shibuya+Dogenzaka/data=!4m2!3m1!1s0x60188ca9d762bf87:0x50712f246ece5137,,
Tenkazushi Shibuya Dogenzaka,המלצה על fatty tuna,https://www.google.com/maps/place/Tenkazushi+Shibuya+Dogenzaka/data=!4m2!3m1!1s0x60188ca9d9af86cd:0x82c63f86e90e3af8,,
A-Mei Teahouse,תצפית עם תה ועוגת גבינה,https://www.google.com/maps/place/A-Mei+Teahouse/data=!4m2!3m1!1s0x345d4517e02d26b1:0x11ec86c737ace0aa,,
Xing Fu Tang,באבל טי,https://www.google.com/maps/place/Xing+Fu+Tang/data=!4m2!3m1!1s0x3442a99db7a1c7bb:0xef8fc221d9e3a1dd,,
SUSHIRO Taipei Yongchun Branch,סושי במסוע,https://www.google.com/maps/place/SUSHIRO+Taipei+Yongchun+Branch/data=!4m2!3m1!1s0x3442abe24e06c1e1:0xe0ef421c45919f7a,,
Din Tai Fung Xinyi Branch,רשת כיסונים מפורסמתתת,https://www.google.com/maps/place/Din+Tai+Fung+Xinyi+Branch/data=!4m2!3m1!1s0x3442a9821392326d:0x93faef9e2359365c,,
Scallion Pancakes,פנקייק מפורסם עם בצל ירוק לנתנאל,https://www.google.com/maps/place/Scallion+Pancakes/data=!4m2!3m1!1s0x3442a96a98395e39:0x8dec242fa4fb1d21,,
Din Tai Fung A4 Branch,רשת כסונים חובה,https://www.google.com/maps/place/Din+Tai+Fung+A4+Branch/data=!4m2!3m1!1s0x3442abbbced155d3:0xe102c076b0599e9e,,
Din Tai Fung 101,רשת כיסונים מפורסמת. חובה,https://www.google.com/maps/place/Din+Tai+Fung+101/data=!4m2!3m1!1s0x3442abb6e8257741:0x51d2055f43274319,,
