כותרת,הערה,כתובת אתר,תגיות,תגובה
杉原海濱渡假村,,https://www.google.com/maps/place/%E6%9D%89%E5%8E%9F%E6%B5%B7%E6%BF%B1%E6%B8%A1%E5%81%87%E6%9D%91/data=!4m2!3m1!1s0x346fbc971fc39451:0x54ed41a74a7d492d,,
טירת מצומוטו,,https://www.google.com/maps/place/%D7%98%D7%99%D7%A8%D7%AA+%D7%9E%D7%A6%D7%95%D7%9E%D7%95%D7%98%D7%95%E2%80%AD/data=!4m2!3m1!1s0x601d0e850a9a5999:0x902d0e20fabcf654,,
Okuhida Onsengo Hirayu,,https://www.google.com/maps/place/Okuhida+Onsengo+Hirayu/data=!4m2!3m1!1s0x601d49a954019ae5:0xe83719f5549887d7,,
Chengcing Lake,,https://www.google.com/maps/place/Chengcing+Lake/data=!4m2!3m1!1s0x346e1ad6b0229e8b:0x98ba638ff9e984fa,,
שוק הבוקר בטאקיאמה,,https://www.google.com/maps/place/%D7%A9%D7%95%D7%A7+%D7%94%D7%91%D7%95%D7%A7%D7%A8+%D7%91%D7%98%D7%90%D7%A7%D7%99%D7%90%D7%9E%D7%94%E2%80%AD/data=!4m2!3m1!1s0x6002bad6cfb0ec13:0x4c262f0cacf9e0d6,,
Shirakawa,,https://www.google.com/maps/place/Shirakawa/data=!4m2!3m1!1s0x5ff8707e4843cc7f:0x56043544d4617173,,
Sanmachi Suji,,https://www.google.com/maps/place/Sanmachi+Suji/data=!4m2!3m1!1s0x6002badbb4b53173:0x7fcc7788f914b88e,,
Namba Yasaka Jinja,,https://www.google.com/maps/place/Namba+Yasaka+Jinja/data=!4m2!3m1!1s0x6000e77279bd5541:0x80c374197554ea9f,,
Shinsaibashisuji,,https://www.google.com/maps/place/Shinsaibashisuji/data=!4m2!3m1!1s0x6000e711361b1273:0xc014cffbbb0ac797,,
America-mura,,https://www.google.com/maps/place/America-mura/data=!4m2!3m1!1s0x6000e716ff532e6f:0xd78595c147667f17,,
טירת אוסקה,,https://www.google.com/maps/place/%D7%98%D7%99%D7%A8%D7%AA+%D7%90%D7%95%D7%A1%D7%A7%D7%94%E2%80%AD/data=!4m2!3m1!1s0x6000e0cd5c283afd:0xf01d07d5ca11e41,,
Dotonbori,,https://www.google.com/maps/place/Dotonbori/data=!4m2!3m1!1s0x6000e71526dc6083:0xe43d6b861e80b709,,
Shijo-dori,,https://www.google.com/maps/place/Shijo-dori/data=!4m2!3m1!1s0x6001064a90dcb149:0x57278fe62f8b68d4,,
מקדש פושימי אינארי,,https://www.google.com/maps/place/%D7%9E%D7%A7%D7%93%D7%A9+%D7%A4%D7%95%D7%A9%D7%99%D7%9E%D7%99+%D7%90%D7%99%D7%A0%D7%90%D7%A8%D7%99%E2%80%AD/data=!4m2!3m1!1s0x60010f153d2e6d21:0x7b1aca1c753ae2e9,,
Nakatanidou,,https://www.google.com/maps/place/Nakatanidou/data=!4m2!3m1!1s0x6001398812073c9b:0xca16527bbdfdc288,,
Isuien Garden and Neiraku Museum,,https://www.google.com/maps/place/Isuien+Garden+and+Neiraku+Museum/data=!4m2!3m1!1s0x6001398ff95a7d73:0x5a11579a3324bda3,,
טודאי-ג'י,,https://www.google.com/maps/place/%D7%98%D7%95%D7%93%D7%90%D7%99-%D7%92'%D7%99%E2%80%AD/data=!4m2!3m1!1s0x600139907a0876dd:0xf890ac3f9dd53c8f,,
Nara Park,,https://www.google.com/maps/place/Nara+Park/data=!4m2!3m1!1s0x60013996bd8c6061:0xf96cacf357447456,,
המקדש המוזהב,,https://www.google.com/maps/place/%D7%94%D7%9E%D7%A7%D7%93%D7%A9+%D7%94%D7%9E%D7%95%D7%96%D7%94%D7%91%E2%80%AD/data=!4m2!3m1!1s0x6001a820c0eb46bd:0xee4272b1c22645f,,
Arashiyama Bamboo Forest,,https://www.google.com/maps/place/Arashiyama+Bamboo+Forest/data=!4m2!3m1!1s0x6001abebbf5c8bad:0xfb9ffc7bbdd67cdd,,
Togetsukyō Bridge,,https://www.google.com/maps/place/Togetsuky%C5%8D+Bridge/data=!4m2!3m1!1s0x6001075300916977:0xec14f8e82496283d,,
Arashiyama Nakaoshitacho,,https://www.google.com/maps/place/Arashiyama+Nakaoshitacho/data=!4m2!3m1!1s0x600100aa7893b8e9:0x48498d83006f45b0,,
Kimono Shop Rental Photo Maiko Collection,שילוב של טקס תה מסורתי עם לבישת קימונו,https://www.google.com/maps/place/Kimono+Shop+Rental+Photo+Maiko+Collection/data=!4m2!3m1!1s0x6000e704842c2a3f:0x2acdaf88acf689f1,,
Maruyama Park,,https://www.google.com/maps/place/Maruyama+Park/data=!4m2!3m1!1s0x600108dcae68a29b:0xeb260d8a2775cd4b,,
Ninenzaka,,https://www.google.com/maps/place/Ninenzaka/data=!4m2!3m1!1s0x600108d018ab0c97:0xe6ae59775061be35,,
Sannenzaka,,https://www.google.com/maps/place/Sannenzaka/data=!4m2!3m1!1s0x60010879a219f8af:0xa3504d2600725c07,,
Kiyomizu-dera,,https://www.google.com/maps/place/Kiyomizu-dera/data=!4m2!3m1!1s0x600108d385dcfb07:0x62af658650c434ba,,
Wulai Old Street,,https://www.google.com/maps/place/Wulai+Old+Street/data=!4m2!3m1!1s0x3468066411848c71:0x2aeb12aeb8a7507a,,
Wulai Falls,,https://www.google.com/maps/place/Wulai+Falls/data=!4m2!3m1!1s0x3468066fa745fad9:0xef2707fed49edfdc,,
Zhang Mei Ama’s Farm,חווה עם חיות מיוחדות. ליטוף וכו,https://www.google.com/maps/place/Zhang+Mei+Ama%E2%80%99s+Farm/data=!4m2!3m1!1s0x3467e1090e5ef885:0x71b71ba77e1176cc,,
Songlong Rock Waterfall,מקום יפה עם מפלים,https://www.google.com/maps/place/Songlong+Rock+Waterfall/data=!4m2!3m1!1s0x346eda0190a538cf:0xd7f2add041019c64,,
Huian Park,נקודת תצפית יפה על טאיפי,https://www.google.com/maps/place/Huian+Park/data=!4m2!3m1!1s0x3442aa4b6ba61dbb:0xe522c4aca1e4764,,
Alishan Forest Railway Garage Park,,https://www.google.com/maps/place/Alishan+Forest+Railway+Garage+Park/data=!4m2!3m1!1s0x346e9432844003c5:0xf0c1b488ea6cb9d2,,
"Zhengqi Rd, Taitung City",מקום של שוק לילה מחמישי עד שבת,"https://www.google.com/maps/place/Zhengqi+Rd,+Taitung+City/data=!4m2!3m1!1s0x346fb93e16934cb3:0xca980644ae9cdbb4",,
Taitung Tourism Night Market,שוק לילה,https://www.google.com/maps/place/Taitung+Tourism+Night+Market/data=!4m2!3m1!1s0x346fb93e48054ddd:0xe358b7c9a046d5ed,,
Tiehua Music Village,מקום של מופיעי מוזיקה ואווירה,https://www.google.com/maps/place/Tiehua+Music+Village/data=!4m2!3m1!1s0x346fb915da873203:0xa5e40dbe58caba0f,,
Zhiben Hot Spring,מעיינות חמים,https://www.google.com/maps/place/Zhiben+Hot+Spring/data=!4m2!3m1!1s0x346fc9de3fee20ef:0xd7ee2ce68cb3f9af,,
加都魯農場,סדרה של 7 מפלים ובריכות בטבע. טיפוס עם חבלים,https://www.google.com/maps/place/%E5%8A%A0%E9%83%BD%E9%AD%AF%E8%BE%B2%E5%A0%B4/data=!4m2!3m1!1s0x3471b69c2bcfe09f:0xcf5d99205588bb0d,,
Jialeshui Falls,מפל ההר והים,https://www.google.com/maps/place/Jialeshui+Falls/data=!4m2!3m1!1s0x3471b4c0fdca3b07:0xecf3a09c9723d2f,,
Formosan Aboriginal Culture Village,עליה ברכבל,https://www.google.com/maps/place/Formosan+Aboriginal+Culture+Village/data=!4m2!3m1!1s0x3468d68fab1ac707:0x578fc49549e644c6,,
Wenwu Temple,מקדש ,https://www.google.com/maps/place/Wenwu+Temple/data=!4m2!3m1!1s0x3468d668e2f4582b:0xfd1f9cd4796180f0,,
Ci'en Pagoda,תצפית 360 מעלות. 30 דק הליכה ביער,https://www.google.com/maps/place/Ci'en+Pagoda/data=!4m2!3m1!1s0x3468d66aaaaaaaab:0x9c52d712e043a9c8,,
Southernmost Point of Taiwan,הנקודה הכי דרומית,https://www.google.com/maps/place/Southernmost+Point+of+Taiwan/data=!4m2!3m1!1s0x3471ad7c50472909:0xb15ab771203952e7,,
Longpan Park,מצוק פתוח מול הים. שקיעה מרשימה,https://www.google.com/maps/place/Longpan+Park/data=!4m2!3m1!1s0x3471b25eb23e10a1:0x1c92a0d803d845de,,
Eluanbi Lighthouse,מגדלור לבן. תצפית,https://www.google.com/maps/place/Eluanbi+Lighthouse/data=!4m2!3m1!1s0x3471b1150ebf5f65:0x5757d23a8bc2a410,,
Houbihu,צלילות,https://www.google.com/maps/place/Houbihu/data=!4m2!3m1!1s0x3471b03f3a25a1a1:0x814368594db2532a,,
Small Beach,מפרץ קטן. רגוע ונעים לרביצה ושקיעה,https://www.google.com/maps/place/Small+Beach/data=!4m2!3m1!1s0x3471b1bd5aa00067:0xf3bc328eb515e9ad,,
South Bay Recreation Area,החוף הכי פופלרי. אווירה חיה. פעילויות מים כמו סאפ ובננה,https://www.google.com/maps/place/South+Bay+Recreation+Area/data=!4m2!3m1!1s0x3471b1abbb7d8d55:0x45724d191a9be279,,
Kenting Baishawan,חוף לבן ושקט. מים רגועים,https://www.google.com/maps/place/Kenting+Baishawan/data=!4m2!3m1!1s0x3471b003e209ef77:0x291dd68fcb88a0da,,
"Shifen St, Shifen Village, Pingxi District",,"https://www.google.com/maps/place/Shifen+St,+Shifen+Village,+Pingxi+District/data=!4m2!3m1!1s0x345d50e88582ef0f:0x7f74bfb816d2d5a2",,
Fo Guang Shan Buddha Museum,מקדש יפה,https://www.google.com/maps/place/Fo+Guang+Shan+Buddha+Museum/data=!4m2!3m1!1s0x346e16af36de702b:0xa70c53fa8f67593c,,
Dihua Old Street,,https://www.google.com/maps/place/Dihua+Old+Street/data=!4m2!3m1!1s0x3442a91438867265:0xc524ad8c103e4a1e,,
Dihua Street,רחוב עתיק,https://www.google.com/maps/place/Dihua+Street/data=!4m2!3m1!1s0x3442a913890b7179:0x7af18ed3310911d5,,
Golden Waterfall,מפל יפה,https://www.google.com/maps/place/Golden+Waterfall/data=!4m2!3m1!1s0x345d44fc87a6a457:0xdba9a57ed15267f0,,
Shuinandong Observatory,נקודת תצפית,https://www.google.com/maps/place/Shuinandong+Observatory/data=!4m2!3m1!1s0x345d44ff31b667c9:0xbca087f0e133aa56,,
Xinzhongshan Linear Park,רחוב נחמד לטייל בו,https://www.google.com/maps/place/Xinzhongshan+Linear+Park/data=!4m2!3m1!1s0x3442a969977c315b:0xf4977c0269a11d9a,,
"Chifeng St, Guangneng Village, Datong District",רחוב מגניב,"https://www.google.com/maps/place/Chifeng+St,+Guangneng+Village,+Datong+District/data=!4m2!3m1!1s0x3442a96bd3b19f4d:0xcc152711989c37f8",,
Tsuei Heng Pagoda,נקודה יפה לראות את טאיפי 101,https://www.google.com/maps/place/Tsuei+Heng+Pagoda/data=!4m2!3m1!1s0x3442abc7e25c33d1:0xf62ae68c7020e0ff,,
Jioufen,עיירה ,https://www.google.com/maps/place/Jioufen/data=!4m2!3m1!1s0x345d451805536779:0x29b83a838c953b84,,
Shifen Waterfall,מפלים,https://www.google.com/maps/place/Shifen+Waterfall/data=!4m2!3m1!1s0x345d50f2cb669ef1:0xb011f7e3a0982949,,
Elephant Mountain,תצפית,https://www.google.com/maps/place/Elephant+Mountain/data=!4m2!3m1!1s0x3442abb286dcae25:0x38769565183862d8,,
Taipei 101,,https://www.google.com/maps/place/Taipei+101/data=!4m2!3m1!1s0x3442abe10238cb87:0x8c0ca929f18c0d23,,
מרינדו גבעתיים,,https://www.google.com/maps/place/%D7%9E%D7%A8%D7%99%D7%A0%D7%93%D7%95+%D7%92%D7%91%D7%A2%D7%AA%D7%99%D7%99%D7%9D%E2%80%AD/data=!4m2!3m1!1s0x151d4bd4e8c44155:0x79f74c5a7ef7efb1,,
Waiao Beach,,https://www.google.com/maps/place/Waiao+Beach/data=!4m2!3m1!1s0x3467f7a7b0c983c3:0x76e26a6834543402,,
Jiufen Old Street,,https://www.google.com/maps/place/Jiufen+Old+Street/data=!4m2!3m1!1s0x345d4517fafb9471:0x5f15825aa6a4a7d2,,
הר פוג'י,,https://www.google.com/maps/place/%D7%94%D7%A8+%D7%A4%D7%95%D7%92'%D7%99%E2%80%AD/data=!4m2!3m1!1s0x6019629a42fdc899:0xa6a1fcc916f3a4df,,
